Country,Value
AFGHANISTAN,0
ALBANIA,3256
ALGERIA,0
AMERICAN SAMOA,0
ANDORRA,2335
ANGOLA,650
ANGUILLA,69
ANTIGUA AND BARBUDA,244
ARGENTINA,5571
ARMENIA,1084
ARUBA,979
AUSTRALIA,6382
AUSTRIA,24813
AZERBAIJAN,2509
BAHAMAS,1364
BAHRAIN,9163
BANGLADESH,148
BARBADOS,509
BELARUS,137
BELGIUM,7684
BELIZE,294
BENIN,231
BERMUDA,236
BHUTAN,116
BOLIVIA,798
BONAIRE,0
BOSNIA AND HERZEGOVINA,529
BOTSWANA,0
BRAZIL,5813
BRITISH VIRGIN ISLANDS,366
BRUNEI DARUSSALAM,3279
BULGARIA,6898
BURKINA FASO,218
BURUNDI,0
CABO VERDE,503
CAMBODIA,4210
CAMEROON,912
CANADA,16590
CAYMAN ISLANDS,345
CENTRAL AFRICAN REPUBLIC,0
CHAD,100
CHILE,3576
CHINA,55686
COLOMBIA,2595
COMOROS,0
CONGO,305
COOK ISLANDS,121
COSTA RICA,2428
COTE D'IVOIRE,0
CROATIA,10955
CUBA,2829
CURAÇAO,441
CYPRUS,2405
CZECH REPUBLIC,9004
DEMOCRATIC REPUBLIC OF THE CONGO,191
DENMARK,8557
DJIBOUTI,63
DOMINICA,78
DOMINICAN REPUBLIC,4690
ECUADOR,1364
EGYPT,9174
EL SALVADOR,1283
EQUATORIAL GUINEA,0
ERITREA,0
ESTONIA,2868
ETHIOPIA,681
FIJI,658
FINLAND,0
FRANCE,84726
FRENCH GUIANA,0
FRENCH POLYNESIA,164
GABON,0
GAMBIA,171
GEORGIA,5392
GERMANY,31545
GHANA,0
GREECE,17920
GRENADA,116
GUADELOUPE,487
GUAM,1334
GUATEMALA,2000
GUINEA,56
GUINEA-BISSAU,0
GUYANA,0
HAITI,0
HONDURAS,863
HUNGARY,10675
ICELAND,800
INDIA,6968
INDONESIA,8802
IRAQ,892
IRELAND,8260
ISRAEL,2962
ITALY,47704
JAMAICA,2008
JAPAN,10364
JORDAN,3945
KAZAKHSTAN,4926
KENYA,1434
KIRIBATI,5
KUWAIT,6217
KYRGYZSTAN,3076
LAO PEOPLE'S DEMOCRATIC REPUBLIC,2510
LATVIA,1536
LEBANON,1274
LESOTHO,433
LIBERIA,0
LIBYA,0
LIECHTENSTEN,60
LITHUANIA,2012
LUXEMBOURG,945
MADAGASCAR,196
MALAWI,0
MALAYSIA,25715
MALDIVES,1125
MALI,142
MALTA,1582
MARSHALL ISLANDS,0
MARTINIQUE,490
MAURITANIA,0
MAURITIUS,993
MEXICO,24151
MONACO,328
MONGOLIA,418
MONTENEGRO,1324
MONTSERRAT,7
MOROCCO,10046
MOZAMBIQUE,1886
MYANMAR,2044
NAMIBIA,1176
NEPAL,798
NETHERLANDS,12783
NEW CALEDONIA,108
NEW ZEALAND,2745
NICARAGUA,1229
NIGER,123
NIGERIA,4038
NIUE,7
NORTHERN MARIANA ISLANDS,0
NORWAY,0
OMAN,1551
PAKISTAN,0
PALAU,105
PALESTINE,545
PANAMA,1658
PAPUA NEW GUINEA,174
PARAGUAY,610
PERU,3164
PHILIPPINES,4681
POLAND,15800
PORTUGAL,0
PUERTO RICO,3200
QATAR,2611
REPUBLIC OF MOLDOVA,12
REUNION,416
ROMANIA,8019
RUSSIAN FEDERATION,30792
RWANDA,1137
SABA,0
SAINT KITTS AND NEVIS,107
SAINT LUCIA,319
SAINT VINCENT AND THE GRENADINES,72
SAMOA,116
SAN MARINO,70
SAO TOME AND PRINCIPE,0
SAUDI ARABIA,13380
SENEGAL,1063
SERBIA,922
SERBIA AND MONTENEGRO,0
SEYCHELLES,230
SIERRA LEONE,81
SINGAPORE,11899
SINT EUSTATIUS,0
SINT MAARTEN,467
SLOVAKIA,0
SLOVENIA,2259
SOLOMON ISLANDS,24
SOUTH AFRICA,9537
SPAIN,60661
SRI LANKA,1275
SUDAN,591
SURINAME,249
SWAZILAND,968
SWEDEN,11635
SWITZERLAND,8967
SYRIAN ARAB REPUBLIC,0
TAJIKISTAN,208
THAILAND,26547
THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA,400
TIMOR-LESTE,0
TOGO,327
TONGA,45
TRINIDAD AND TOBAGO,434
TUNISIA,6269
TURKEY,37795
TURKMENISTAN,0
TURKS AND CAICOS ISLANDS,291
TUVALU,0
UGANDA,1206
UKRAINE,24671
UNITED ARAB EMIRATES,0
UNITED KINGDOM,32813
UNITED REPUBLIC OF TANZANIA,1063
UNITED STATES OF AMERICA,69768
UNITED STATES VIRGIN ISLANDS,570
URUGUAY,2683
UZBEKISTAN,1969
VANUATU,110
VENEZUELA,986
VIET NAM,7572
YEMEN,990
ZAMBIA,915
ZIMBABWE,1833
