Category,PI Name,Proposal Number,Time,Title,Year
SOLAR SYSTEM,Peter Predehl,07100082,84.4,Search for charge exchange induced X-ray emission in theVenusian exosphere,2007
SOLAR SYSTEM,Scott Wolk,07108248,20.0,An Extremely Close Encounter with the Disintegrating Comet73P/SW3,2007
STARS AND WD,Beate Stelzer,07200003,40.0,X-ray activity in young substellar objects: A brown dwarf binaryin Cha I,2007
STARS AND WD,Beate Stelzer,07200005,112.0,On the origin of X-ray emission from Herbig Ae/Be stars,2007
STARS AND WD,Stephen Murray,07200018,90.0,Deep X-ray observation of the active star formation regionTrumpler 16,2007
STARS AND WD,Gordon Garmire,07200065,100.0,A Long Look at M17: Tapping the Treasury of a Nearby Rich StarForming Region,2007
STARS AND WD,Jan-Uwe Ness,07200093,100.0,Probing spectral changes in variable active M dwarfs,2007
STARS AND WD,Steven Pravdo,07200123,80.0,Understanding the Central Power Source of HH 80/81,2007
STARS AND WD,Giuseppina Micela,07200124,473.0,The Initial Mass Function in the Outer Galaxy: The star formingregion NGC 1893,2007
STARS AND WD,Manuel Guedel,07200268,60.0,DG Tauri: A T Tauri Star with an X-Ray Jet?,2007
STARS AND WD,Gregor Rauw,07200285,100.0,Mapping the colliding wind region of the very massive binaryWR20a,2007
STARS AND WD,Salvatore Sciortino,07200307,100.0,The size of coronae pre-main sequence stars: the eclipsingbinary RXJ0529.4+0041,2007
STARS AND WD,Joel Kastner,07200309,60.0,CXO Monitoring of V1647 Ori: the X-ray Evolution of Pre-mainSequence Accretion Burst,2007
STARS AND WD,Marc Audard,07200317,120.0,Monitoring the X-ray emission of V1118 Ori during its outburst,2007
STARS AND WD,Leisa Townsley,07200367,300.0,"Winds, OB Populations, and Young Stars: New Science from M17",2007
STARS AND WD,Konstantin Getman,07200383,40.0,Young Stars and Protoplanetary Disks in The Rich CometaryGlobule CG 12,2007
STARS AND WD,Klaus Werner,07200459,150.0,What is the origin of H-deficient post-AGB stars?,2007
STARS AND WD,Klaus Werner,07200466,120.0,Origin of metal-deficiency in hot white dwarfs,2007
STARS AND WD,Carol Grady,07200493,20.0,X-Ray Activity and Winds in Young A Stars at the Epoch of DiskClearing,2007
STARS AND WD,Nancy Evans,07200573,10.0,Polaris: High Mass Star Formation,2007
STARS AND WD,Gaitee Hussain,07200603,141.0,"Coronal structure in the eclipsing binary, YY Gem",2007
STARS AND WD,Masahiro Tsujimoto,07200805,75.0,Two Great Observatories Reveal the Dynamical Mass Segregation ina Massive Star-Forming Cluster,2007
STARS AND WD,Thomas Ayres,07200818,50.0,Further Resolving the Puzzle of Hybrid Star X-rays,2007
