Proposal Number,Category,PI Name,Title,Time,Year
13200007,STARS AND WD,Canizares,WN Stars in NGC 3603: the High Resolution Spectrum of HD 97950-C,50.0,2013
13200020,STARS AND WD,Garmire,Revealing the Extent of the Cluster of Clusters in NGC 6357,60.0,2013
13200041,STARS AND WD,Garmire,A Search for X-ray Emission from Colliding Magnetospheres in Young Eccentric Stellar Binaries (GTO part),24.0,2013
13200067,STARS AND WD,Garmire,A Chandra View of the RCW120 Bubble (GTO part),30.0,2013
13200167,STARS AND WD,Berger,Are Convective Dynamos Super-Saturated at High Rotation Velocities?,130.0,2013
13200221,STARS AND WD,Micela,Simultaneous Chandra - CoRoT - Spitzer Observation of the Star Forming Region NGC 2264,300.0,2013
13200236,STARS AND WD,Preibisch,Testing the scenario of triggered star formation at the periphery of the Carina Nebula: a Chandra study of NGC3324,75.0,2013
13200257,STARS AND WD,Robrade,The X-ray puzzle of late B and early A stars,65.0,2013
13200314,STARS AND WD,Leutenegger,A systematic measurement of the mass-loss rate of Zeta Ori,300.0,2013
13200318,STARS AND WD,Rappaport,V1309 Sco: The First Directly Observed Merging Binary,35.0,2013
13200342,STARS AND WD,Getman,A Chandra View of the RCW120 Bubble,50.0,2013
13200394,STARS AND WD,Townsley,The Young 'Cluster of Clusters' NGC 6357: A Carina Complex in the Making?,80.0,2013
13200439,STARS AND WD,Petit,Characterizing the X-ray Properties of Extreme Magnetic Massive Stars,40.0,2013
13200441,STARS AND WD,Guenther,X-ray emission from beta Pic,20.0,2013
13200445,STARS AND WD,Getman,A Search for X-ray Emission from Colliding Magnetospheres in Young Eccentric Stellar Binaries,27.0,2013
13200481,STARS AND WD,Gagne,HETG Spectroscopy of WR 48a: a superluminous dusty Wolf-Rayet star,100.0,2013
13200530,STARS AND WD,Ayres,Alpha Cen: Climbing out of a Coronal Recession?,60.0,2013
13200630,STARS AND WD,Forbrich,Simultaneous X-ray and radio flaring of Young Stellar Objects in the Orion Nebula Cluster,86.4,2013
13200633,STARS AND WD,Guinan,"LIVING WITH A RED DWARF: MAGNETIC ACTIVITY, XUV IRRADIANCES OF dM STARS - EXOPLANET ATMOSPHERES AND ENVIRONMENT IMPACTS",90.0,2013
13200652,STARS AND WD,Damiani,Star formation in the NGC7000/IC5070 complex,96.0,2013
13200692,STARS AND WD,Saar,A Close Look At Middle-Aged Coronae: The Nearby 2.5 Gyr Old Cluster Ruprecht 147,250.0,2013
13200788,STARS AND WD,Ness,"Studies of the coronae of two K-dwarfs, 61 Cyg A and B",200.0,2013
13200817,STARS AND WD,Grosso,"ACIS-S observation of TWA 30AB, the second and third closest actively accreting and outflowing low-mass stars",85.0,2013
13200819,STARS AND WD,Guerrero,Probing Shock-in Winds in the Central Star of the Planetary Nebula IC 4593,80.0,2013
13200852,STARS AND WD,Ag eros,"Deep Imaging of M37, A Better Hyades",450.0,2013
13200853,STARS AND WD,Miller,Testing Star-Planet Interaction in Solar Analogs,120.0,2013
13200857,STARS AND WD,Corcoran,Monitoring Dynamical Mass Loss from Eta Car with the HETG and STIS: The Rise to Maximum,110.0,2013
13300005,WD BINARIES AND CV,Murray,Chandra Spectroscopy of the Supersoft Binary Candidate XMMU J115113.3-623730,70.0,2013
13300077,WD BINARIES AND CV,Predehl,Resolving short supersoft source states of optical novae in the core of M31,76.0,2013
13300385,WD BINARIES AND CV,Kong,Close binary populations in metal-rich globular clusters,156.0,2013
13300461,WD BINARIES AND CV,Walter,The Galactic Nova KT Eridani in Quiescence,75.0,2013
13300810,WD BINARIES AND CV,KAROVSKA,Dynamical Evolution of the Recent Jet in CH Cyg,90.0,2013
13300922,WD BINARIES AND CV,Drake,Probing Coronal Supersaturation in Pre-Cataclysmic Binaries with M-type Companions,24.0,2013
13400045,BH AND NS BINARIES,Kaastra,A deep Chandra LETGS observation of the ultra-compact X-ray binary 4U 1543-624,198.5,2013
13400083,BH AND NS BINARIES,Predehl,Proper Motion Measurement of the Central Compact Object,39.0,2013
13400103,BH AND NS BINARIES,Nowak,A Further Drop into Quiescence by the Neutron Star and Possible Hierarchical Triple 4U2129+47,66.0,2013
13400150,BH AND NS BINARIES,Paizis,INVESTIGATING NEW INTEGRAL SOURCES WITH CHANDRA,40.0,2013
13400164,BH AND NS BINARIES,Kaaret,Constraining the mass of the black hole in IC 342 X-1 with simultaneous X-ray and radio observations,10.0,2013
13400174,BH AND NS BINARIES,Keek,Taking the temperature of the superburster 4U 1608-522 after an outburst,60.0,2013
13400186,BH AND NS BINARIES,Chakrabarty,Precise Localization of Transient Low-Mass X-ray Binaries,4.0,2013
13400211,BH AND NS BINARIES,Corbel,X-Ray Jets in Microquasars,150.0,2013
13400213,BH AND NS BINARIES,Grenier,ToO observation of a bright Galactic transient discovered by Fermi and Swift,30.0,2013
13400215,BH AND NS BINARIES,Jonker,Following a black hole candidate X-ray transient to quiescence,187.0,2013
13400239,BH AND NS BINARIES,Jonker,The unique opportunity to determine the mass of an accreting neutron star: an eclipsing accretion powered X-ray pulsar,25.0,2013
13400265,BH AND NS BINARIES,Degenaar,Quiescent monitoring of the 11 Hz pulsar in Terzan 5,100.0,2013
13400279,BH AND NS BINARIES,Jonker,Completing the Galactic Bulge Survey: categorizing the plethora of faint X-ray sources in the Galactic Bulge,126.0,2013
13400312,BH AND NS BINARIES,Pooley,Transient LMXBs in Globular Clusters: More Numerous than We Thought?,22.5,2013
13400320,BH AND NS BINARIES,Heinke,The Spectral Energy Distribution of a Very Faint X-ray Transient,5.0,2013
13400401,BH AND NS BINARIES,Cackett,Investigating neutron star crustal cooling in MXB 1659-29,100.0,2013
13400406,BH AND NS BINARIES,Homan,An accurate X-ray position of the neutron-star low-mass X-ray binary GX 3+1,1.0,2013
13400434,BH AND NS BINARIES,McLaughlin,Constraining Neutron Star Close Binary Evolution with the ``Missing Link' PSR J1723--2837,55.0,2013
13400498,BH AND NS BINARIES,Neilsen,Testing the Wind-Jet Connection in a Black Hole Transient,120.0,2013
13400512,BH AND NS BINARIES,in 't Zand,Search for absorption edges in superexpansion bursts,100.0,2013
13400618,BH AND NS BINARIES,Soria,"Jets, hot spots and cocoon of the most powerful microquasar",150.0,2013
13400639,BH AND NS BINARIES,Wijnands,Crust cooling of accretion heated neutron stars,150.0,2013
13400681,BH AND NS BINARIES,Xiang,"Measuring Emission Geometry, Interstellar Dust, and Distance with Chandra HETGS Observations of EXO 2030+375",60.0,2013
13400697,BH AND NS BINARIES,Reynolds,The Luminosity of Quiescent Stellar Mass Black Holes,40.0,2013
13400708,BH AND NS BINARIES,Xiang,"A chandra HETGS study of 4U 1323-619: Binary Wind Properties, X-ray Burst, Distance and Studies of Interstellar Medium",150.0,2013
