"","Proposal Number","Category","PI Name","Type","Time (ks)","Title"
"","17910426","GALACTIC DIFFUSE EMISSION AND SURVEYS","John Tomsick","GO","40","Follow-up of Serendipitous NuSTAR Sources in the Galactic Plane"
"","17910267","GALACTIC DIFFUSE EMISSION AND SURVEYS","Norbert Schulz","GO","74","Optical Depth of Si K in Bright Low-Mass X-Ray Binaries"
"","17910152","GALACTIC DIFFUSE EMISSION AND SURVEYS","Stephen Skinner","GO","70","Diffuse X-rays and Shocks in the Massive Star-Forming Region Onsala 2"
"","17910034","GALACTIC DIFFUSE EMISSION AND SURVEYS","Leisa Townsley","GO","80","From Dusty Filament to Starry Firmament: The Transfiguration of NGC 6334"
"","17900432","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Marco Ajello","GO","70","Compton-Thick AGN: The Hunt is on"
"","17800726","CLUSTERS OF GALAXIES","Mark Brodwin","GO","87","Determining the Universality of f_gas at High Redshift"
"","17800681","CLUSTERS OF GALAXIES","Mariachiara Rossetti","GO","215","Building a Cheap and Cheerful SZ-selected sample of galaxy clusters with the Planck Catalogue."
"","17800659","CLUSTERS OF GALAXIES","Lindsey Bleem","GO","48","SPT-CL J0329-2330: CHARACTERIZING THE X-RAY PROPERTIES OF AN EXCEPTIONAL HIGH-REDSHIFT GALAXY CLUSTER"
"","17800628","CLUSTERS OF GALAXIES","Ming Sun","GO","60","A survivor found --- a detached X-ray cool core and tail"
"","17800627","CLUSTERS OF GALAXIES","John Hughes","GO","56","A New Massive, High-Redshift Planck Cluster"
"","17800610","CLUSTERS OF GALAXIES","Yuanyuan Su","GO","200","Mapping an unusually Relaxed Non-Cool-Core Cluster out to the Viral Radius"
"","17800593","CLUSTERS OF GALAXIES","Spencer Stanford","GO","48","The Most Massive Galaxy Cluster at z > 1.2"
"","17800479","CLUSTERS OF GALAXIES","Irina Zhuravleva","LP","1000","Probing ICM on mean free path scales"
"","17800463","CLUSTERS OF GALAXIES","Ewan O'Sullivan","GO","42","The origin of the cold gas in the hot core of the LGG 402 galaxy group"
"","17800435","CLUSTERS OF GALAXIES","Ewan O'Sullivan","GO","120","The Impact of a High_velocity Merger on the Intra-Group Medium of LGG 72"
"","17800433","CLUSTERS OF GALAXIES","Matt Hilton","GO","50","Testing the effect of quasar-mode feedback on the intracluster medium"
"","17800425","CLUSTERS OF GALAXIES","Dharam Lal","GO","45","The 'seven-sister' BCG - A tale of a cD galaxy in the making?"
"","17800396","CLUSTERS OF GALAXIES","Georgiana Ogrean","GO","78","Pinning Down the Origin of an Extreme Radio Phoenix"
"","17800381","CLUSTERS OF GALAXIES","Jonathan McDowell","GO","45","The Weak-Line Quasar PG1407+265 and its Cluster"
"","17800360","CLUSTERS OF GALAXIES","Ben Maughan","GO","155","Building a complete sample of z>1 XXL galaxy clusters"
"","17800349","CLUSTERS OF GALAXIES","Jimmy Irwin","GO","125","Searching for Shock Features in the Radio Halo Cluster Abell 1914"
"","17800322","CLUSTERS OF GALAXIES","Ben Maughan","GO","133","X-ray/dynamical masses with the complete CHeCS sample"
"","17800269","CLUSTERS OF GALAXIES","Reinout van Weeren","LP","368","A Shock in the Cluster ZwCl0008: A Direct Test of Particle Acceleration Models"
"","17800222","CLUSTERS OF GALAXIES","Julie Hlavacek-Larrondo","LP","425","Deep X-ray Observations of 3 exceptional high-z clusters of galaxies"
"","17800174","CLUSTERS OF GALAXIES","Ming Sun","GO","185","Tales of tails: the Coma episodes"
"","17800171","CLUSTERS OF GALAXIES","Helen Russell","LP","330","The imprints of AGN feedback within the Bondi radius of M87"
"","17800155","CLUSTERS OF GALAXIES","Eric Miller","GO","50","A Fossil Group in Formation"
"","17800140","CLUSTERS OF GALAXIES","Ka-Wah Wong","GO","88","Fossil group: the real spherical cow to study AGN feedback"
"","17800139","CLUSTERS OF GALAXIES","Fabio Gastaldello","GO","80","The corona and the cold front in A 2028"
"","17800085","CLUSTERS OF GALAXIES","Lucas Johnson","GO","99","Searching for Fossil Group Progenitors Via Strong Gravitational Lensing"
"","17800069","CLUSTERS OF GALAXIES","Elizabeth Blanton","GO","52","Bending of WAT Radio Lobes in Abell 623 Through ICM Sloshing"
"","17700741","ACTIVE GALAXIES AND QUASARS","Kayhan Gultekin","GO","40","Testing Models of Circum-Binary-AGN Accretion"
"","17700711","ACTIVE GALAXIES AND QUASARS","Paola Rodriguez Hidalgo","GO","37","Constraining X-ray Absorption in Emergent BAL Quasars"
"","17700696","ACTIVE GALAXIES AND QUASARS","Roberto Assef","GO","140","Extremely Luminous Dusty Quasars with Unobscured UV Emission: Dual AGN or Extreme Single AGN Systems?"
"","17700663","ACTIVE GALAXIES AND QUASARS","Shri Kulkarni","TOO","10","'Timely' Observations of Tidal Disruption Events"
"","17700655","ACTIVE GALAXIES AND QUASARS","Nadia Zakamska","GO","60","Discovery of extreme quasar wind candidates at high redshift"
"","17700625","ACTIVE GALAXIES AND QUASARS","George Chartas","GO","100","The Wide-Angle Outflow of the z=1.51 AGN HS 0810+2554"
"","17700613","ACTIVE GALAXIES AND QUASARS","Walter Maksym","GO","165","Long-Term Multi-wavelength Monitoring of a Stellar Tidal Disruption at Only 90 Mpc"
"","17700609","ACTIVE GALAXIES AND QUASARS","Margherita Giustini","GO","250","Exploring Positive Feedback in NGC 2617"
"","17700607","ACTIVE GALAXIES AND QUASARS","Shobita Satyapal","GO","144","Pre-selecting Dual AGN Candidates using WISE: A Chandra Follow-up Study"
"","17700582","ACTIVE GALAXIES AND QUASARS","Laura Brenneman","GO","160","A Long Look at NGC 3783 with Chandra/HETG and NuSTAR"
"","17700576","ACTIVE GALAXIES AND QUASARS","Kristina Pardo","GO","66","Probing AGN feedback on nuclear and galaxy-wide scales"
"","17700519","ACTIVE GALAXIES AND QUASARS","Grant Tremblay","GO","200","Expanding Superbubbles in Luminous AGN: Unifying Chandra with MUSE"
"","17700516","ACTIVE GALAXIES AND QUASARS","Roberto Gilli","LP","500","QSOs at z=6: Black Hole Growth and Feedback in the Early Universe"
"","17700469","ACTIVE GALAXIES AND QUASARS","Aurora Simionescu","GO","130","A DETAILED VIEW OF AN EXTENDED X-RAY BRIGHT, RADIO FAINT BLACK HOLE JET AT REDSHIFT 2.5"
"","17700460","ACTIVE GALAXIES AND QUASARS","Gabriele Ponti","TOO","280","X-ray monitoring of Sgr A* during outburst"
"","17700440","ACTIVE GALAXIES AND QUASARS","Sylvain Veilleux","GO","200","Elliptical Galaxy in the Making: The Black Hole Activity, Galaxy-Scale Outflow, and Metal-Rich Halo of Mrk 273"
"","17700420","ACTIVE GALAXIES AND QUASARS","Michael Koss","LP","313","Chandra Legacy Survey of Merger Driven AGN Activation in Nearby X-ray Selected AGN"
"","17700414","ACTIVE GALAXIES AND QUASARS","Anna Lia Longinotti","GO","250","The NLSy1 IRAS17020+4544: dissecting the first low ionization sub-relativistic black hole wind with LETG and HST/COS"
"","17700330","ACTIVE GALAXIES AND QUASARS","Jon Miller","TOO","50","Chandra Spectroscopy of a Bright Tidal Disurption Event"
"","17700304","ACTIVE GALAXIES AND QUASARS","Chris Harrison","GO","50","Storm in a Teacup: a ``quasar mode'  AGN with significant mechanical feedback?"
"","17700301","ACTIVE GALAXIES AND QUASARS","Fabrizio Nicastro","GO","250","Picturing Feedback in Action: from the innermost nuclear region to the Galaxy Scale"
"","17700264","ACTIVE GALAXIES AND QUASARS","Michael Koss","GO","100","Studying Dual AGN Activity and Obscuration in the Final Merger Stage (<3 kpc)"
"","17700126","ACTIVE GALAXIES AND QUASARS","Elena Gallo","GO","81.6","X-RAYING FORNAX"
"","17700071","ACTIVE GALAXIES AND QUASARS","Martin Elvis","GO","200","AGN TERMINATION SHOCKS: FEEDBACK IN ACTION"
"","17700036","ACTIVE GALAXIES AND QUASARS","William Brandt","GO","54.6","Bridging the Gap Between Weak-Line and Typical Quasars"
"","17700018","ACTIVE GALAXIES AND QUASARS","Elena Gallo","GO","100","CMB-INDUCED RADIO QUENCHING OF HIGH-REDSHIFT AGN"
"","17700006","ACTIVE GALAXIES AND QUASARS","Francesco Massaro","GO","192","Extending the Extragalactic 3CR Chandra Survey to z=1.5"
"","17620695","NORMAL GALAXIES: X-RAY POPULATIONS","Fiona Harrison","LP","315","Timing and Spectral Studies of the Extreme Binary Population in M82"
"","17620563","NORMAL GALAXIES: X-RAY POPULATIONS","RICHARD PLOTKIN","GO","19","Multiwavelength Characterization of Candidate Black Holes in Nearby Dwarf Galaxies"
"","17620528","NORMAL GALAXIES: X-RAY POPULATIONS","Gordon Garmire","GTO","100","Chandra Monitoring of Magnetar SGR J1745-2900, Sgr A* and Dusty Object G2"
"","17620477","NORMAL GALAXIES: X-RAY POPULATIONS","Douglas Swartz","LP","800","To the Edge and Beyond: A Legacy Survey of the Grand Design Spiral M81"
"","17620467","NORMAL GALAXIES: X-RAY POPULATIONS","Ann Hornschemeier","GO","25","0.5-30 KEV MONITORING OF THE M31 DISK WITH CHANDRA AND NUSTAR"
"","17620127","NORMAL GALAXIES: X-RAY POPULATIONS","Daryl Haggard","TOO","100","Triggered Observations of the G2 Tidal Stream as it Encounters Sgr A*"
"","17620072","NORMAL GALAXIES: X-RAY POPULATIONS","Saul Rappaport","GO","55","The X-Ray Population of the Colliding Galaxy Pair Arp 81"
"","17610258","NORMAL GALAXIES: DIFFUSE EMISSION","Jimmy Irwin","GO","46","The Most Luminous Field Early-type Galaxies"
"","17500753","SN, SNR AND ISOLATED NS","Andrew Fruchter","TOO","120","The Astrophysics of the Most Energetic Gamma-Ray Bursts"
"","17500746","SN, SNR AND ISOLATED NS","Dan Milisavljevic","GO","15","Chandra Observations of the Remarkable Late-interacting SN 2001em"
"","17500690","SN, SNR AND ISOLATED NS","Kazimierz Borkowski","GO","150","The Complex Shell and Pulsar-Wind Nebula in the Young Supernova Remnant Kes 75"
"","17500675","SN, SNR AND ISOLATED NS","Kazimierz Borkowski","LP","300","Global Expansion and Internal Kinematics of the Oxygen-Rich Supernova Remnant G292.0+1.8"
"","17500672","SN, SNR AND ISOLATED NS","Ori Fox","TOO","60","X-Ray Signatures of Type Ia Supernovae With Circumstellar Interaction"
"","17500649","SN, SNR AND ISOLATED NS","Sebastian Heinz","TOO","180","A Blast from the Past: Exploring the Supernova Remnant of Circinus X-1, the Youngest Know X-ray Binary"
"","17500589","SN, SNR AND ISOLATED NS","Zhichao Xue","GO","20","IS MUZZIO 10 THE EX-COMPANION STAR OF THE PSR B1509-58 PROGENITOR?"
