Proposal Number,Category,PI Name,Title,Time,Year
10200053,STARS AND WD,Claude Canizares,Summing Flares from EV Lac,100.0,2010
10200070,STARS AND WD,Gordon Garmire,Revealing the Origin of Hard X-rays in the Remarkable O4-O4 Binary Star System in M17: GTO component,25.0,2010
10200077,STARS AND WD,Gordon Garmire,G29.96-0.02: The enigma of ultra-compact HII regions,30.0,2010
10200079,STARS AND WD,Gordon Garmire,Search for triggered star formation in the type A bright rimmed cloud 34,30.0,2010
10200110,STARS AND WD,Beate Stelzer,Search for X-ray emission from magnetic chemically peculiar roAp stars,10.0,2010
10200113,STARS AND WD,Manuel Guedel,Imaging X-Ray Microjets from T Tauri Stars,60.0,2010
10200170,STARS AND WD,Leisa Townsley,G333.6-0.2: An Embedded Giant HII Region in a Proto-OB Association,60.0,2010
10200216,STARS AND WD,J rgen Schmitt,X-ray emission from the magnetic star alpha ^2 Canum Venaticorum ?,15.0,2010
10200260,STARS AND WD,Giuseppina Micela,Activity and Rotation in the Zero Age Main Sequence cluster h Per,200.0,2010
10200267,STARS AND WD,Stephen Skinner,Berkeley 87: A Young Cluster Embedded in a Supersonic Wolf-Rayet Wind,70.0,2010
10200270,STARS AND WD,Stephen Skinner,Unusual X-ray Emission from the Rapidly Accreting Young Star FU Orionis,100.0,2010
10200277,STARS AND WD,David Weintraub,ToO Studies with CXO of Pre-Main Sequence Stars Undergoing Optical Outbursts,70.0,2010
10200283,STARS AND WD,Hans Guenther,IM Lup comes to age: A turnover from accretion to coronae?,150.0,2010
10200304,STARS AND WD,Thomas Ayres,The Cycles of Alpha Centauri,20.0,2010
10200353,STARS AND WD,Wayne Waldron,Using a Cool B Supergiant to Probe the Deepest X-Ray Emitting Layers of a Dense Stellar Wind,234.0,2010
10200414,STARS AND WD,Andrew Pollock,Collisionless plasma dynamics in WR140 near the 2009 eclipse and periastron,20.0,2010
10200468,STARS AND WD,Rachel Osten,Exploring the Stable Coronae of LP349-25 through X-ray and Radio Emission,40.0,2010
10200496,STARS AND WD,david huenemoerder,Anomalous Adara: The Spatial and Spectral Properties of Extended X-Ray Emission,10.0,2010
10200509,STARS AND WD,Svetozar Zhekov,Testing the Colliding Wind Paradigm: X-rays from the Wolf-Rayet Binary System WR 147,300.0,2010
10200574,STARS AND WD,Ettore Flaccomio,V2129 Oph: a close look at a CTTS,200.0,2010
10200596,STARS AND WD,Alexander Brown,X-RAY AND FUV PHOTO-IONIZATION/-EXCITATION OF TRANSITIONAL DISKS AROUND THE PMS STARS HD135344B and Lk Halpha 330,33.0,2010
10200618,STARS AND WD,Michael Corcoran,Testing Shock Dynamics in Eta Carinae with HETGS After the 2009 Periastron Passage,160.0,2010
10200738,STARS AND WD,Thomas Allen,Evolution of Young Stars in the Large Massive Cluster Cep OB3b,150.0,2010
10200757,STARS AND WD,Jose Torrejon,The true nature of HD 110432: the most extreme gamma Cas analog,150.0,2010
10200787,STARS AND WD,Marc Gagne,The Origin of Hard X-rays in M17's Remarkable O4-O4 Binary,150.0,2010
10200804,STARS AND WD,Gregory Herczeg,Constraining the Effects of High Energy Photons on Proto-Planetary Disk Chemistry and Evolution,45.0,2010
10200840,STARS AND WD,Alexander Brown,CORONAL AND TRANSITION REGION HEATING DUE TO MAGNETIC ACTIVITY ON METAL-POOR DWARF STARS,35.0,2010
10200900,STARS AND WD,Young YU,Direct X-ray measurements of the expansion of planetary nebulae,80.0,2010
10200901,STARS AND WD,Kenji Hamaguchi,X-ray Monitoring of Eta Car in 2009: Unveiling the Deep X-ray Minimum,75.0,2010
10200921,STARS AND WD,CXC Calibration,AO-10 Calibration Observations to Monitor the Spatial Variations in the HRC-I Gain,23.0,2010
10200922,STARS AND WD,CXC Calibration,AO-10 Calibration Observations of Capella,60.0,2010
10200923,STARS AND WD,CXC Calibration,AO-10 Calibration Observations to Monitor the Spatial Variations in the HRC-S Gain,23.0,2010
10200926,STARS AND WD,CXC Calibration,AO-10 Calibration Observations of HZ43,22.0,2010
10200930,STARS AND WD,CXC Calibration,AO-10 Measurements of the optical/UV Transmission of the HRC Filters.,36.0,2010
10300001,WD BINARIES AND CV,Wolfgang Pietsch,Resolving short supersoft source states of optical novae in the core of M31,100.0,2010
10300026,WD BINARIES AND CV,Peter Predehl,Resolving short supersoft source states of optical novae in the core of M31,40.0,2010
10300323,WD BINARIES AND CV,David Pooley,Chandra Observation of a New Galactic Globular Cluster -- FSR 584,20.0,2010
10300356,WD BINARIES AND CV,Marina Orio,"CP Puppis, a template for the secular evolution of novae",180.0,2010
10300452,WD BINARIES AND CV,Jennifer Sokoloski,RS Ophiuchi: First X-ray Jet from a Nova,140.0,2010
10300531,WD BINARIES AND CV,Thomas Nelson,Grating spectroscopy of a bright nova in outburst,55.0,2010
10300566,WD BINARIES AND CV,Koji Mukai,The Nature of the Soft Component in the Symbiotic Star CH Cygni,100.0,2010
10300586,WD BINARIES AND CV,Orsola De Marco,PlaN-B: The hyperactive coronae of interacting companions in planetary nebulae,35.7,2010
10300600,WD BINARIES AND CV,Andrea Dieball,Uncovering the interacting binary population in NGC 6681,70.0,2010
10300704,WD BINARIES AND CV,David Pooley,Understanding the Current Dynamical States of Globular Clusters,115.0,2010
10300769,WD BINARIES AND CV,Craig Heinke,Searching for Millisecond Pulsars in Extremely Low-Mass White Dwarf Binaries,28.2,2010
10400006,BH AND NS BINARIES,Hua Feng,Weighing the ULX in M82 via QPO-Spectral Correlations from Simultaneous Chandra and XMM-Newton Observations,60.0,2010
10400008,BH AND NS BINARIES,Adamantia Paizis,INVESTIGATING NEW INTEGRAL SOURCES WITH CHANDRA,20.0,2010
10400009,BH AND NS BINARIES,Jon Miller,High Resolution Spectroscopy of a Black Hole Transient,60.0,2010
10400046,BH AND NS BINARIES,Jelle Kaastra,Chandra follow-up of weak persistent sources found in INTEGRAL maps,2.0,2010
10400048,BH AND NS BINARIES,Jelle Kaastra,Chandra follow-up of weak persistent sources,13.0,2010
10400049,BH AND NS BINARIES,Jelle Kaastra,Chandra LETG observation of an ultra-compact X-ray binary candidate,117.0,2010
10400067,BH AND NS BINARIES,Claude Canizares,Observe Z sources at High Mass Accretion Rates,32.0,2010
