Category,PI Name,Proposal Number,Time,Title,Year
 SOLAR SYSTEM,GORDON GARMIRE,02100065,9.9,ASTEROID OBSERVATION,2002
 SOLAR SYSTEM,GORDON GARMIRE,02100129,80.0,GRB OBSERVATION,2002
SOLAR SYSTEM,KONRAD DENNERL,02100164,30.0,MARS - A PLANETARY ANALOG TO A COMET,2002
SOLAR SYSTEM,G. GLADSTONE,02100148,36.0,THE MORPHOLOGY OF JOVIAN X-RAYS AND SUPPORT OF THE CASSINI FLYBYOF JUPITER,2002
SOLAR SYSTEM,VLADIMIR KRASNOPOLSKY,02100340,17.0,X-RAY SPECTROSCOPY OF COMET C/1999 T1,2002
NORMAL STARS AND WD,ALBERT BRINKMAN,02200030,120.0,HIGH-RESOLUTION SPECTRUM OF UX ARI,2002
NORMAL STARS AND WD,CLAUDE CANIZARES,02200045,50.0,COLLIDING STELLAR WINDS IN IOTA ORIONIS.,2002
NORMAL STARS AND WD,CLAUDE CANIZARES,02200047,50.0,HIGH-RESOLUTION SPECTROSCOPY OF ACTIVE COOL STARS,2002
 NORMAL STARS AND WD,GORDON GARMIRE,02200056,10.0,OBSERVATION OF MASSIVE BINARY,2002
 NORMAL STARS AND WD,GORDON GARMIRE,02200057,10.0,OBSERVATION OF BROWN DWARF,2002
 NORMAL STARS AND WD,GORDON GARMIRE,02200061,40.0,OBSERVATION OF M17,2002
 NORMAL STARS AND WD,GORDON GARMIRE,02200064,5.0,OBSERVATION OF M-DWARF SYSTEM,2002
NORMAL STARS AND WD,JEFFREY LINSKY,02200073,88.0,HETG OBSERVATIONS OF THE K GIANT BETA CETI,2002
NORMAL STARS AND WD,STEPHEN MURRAY,02200080,50.0,EMISSION FROM LATE-TYPE STAR AD LEO,2002
NORMAL STARS AND WD,STEPHEN MURRAY,02200099,20.0,IS THE HOT DO WHITE DWARF KPD0005+5106 REALLY A CORONAL X-RAYSOURCE?,2002
NORMAL STARS AND WD,STEPHEN MURRAY,02200081,61.0,STAR FORMING REGION NGC 6530,2002
NORMAL STARS AND WD,JEFFREY LINSKY,02200137,80.0,THE M 16 STAR-FORMING REGION,2002
 NORMAL STARS AND WD,GORDON GARMIRE,02200059,27.0,OBSERVATION OF SCO-CEN OUTLYERS,2002
NORMAL STARS AND WD,Zdzislaw Musielak,02200175,10.0,A SEARCH FOR CORONAL X-RAYS FROM WHITE DWARFS BY CHANDRA,2002
NORMAL STARS AND WD,JOHN BALLY,02200178,80.0,X-RAYS FROM THE NEAREST PROTOSTARS: L1551,2002
NORMAL STARS AND WD,ERIC FEIGELSON,02200185,70.0,STELLAR CENSUS OF THE CHAMAELEON I NORTH CLOUD,2002
NORMAL STARS AND WD,HENRIK BEUTHER,02200208,20.0,HIGH ENERGY PROCESSES AT THE EARLIEST STAGES OF MASSIVE STARFORMATION,2002
