"","Proposal Number","Category","PI Name","Type","Time (ks)","Title"
"","15910826","GALACTIC DIFFUSE EMISSION AND SURVEYS","Simona Soldi","GO","100","The Sgr C complex: a cosmic ray dominated region?"
"","15910711","GALACTIC DIFFUSE EMISSION AND SURVEYS","John Tomsick","TOO","20","Localizing NuSTAR-Discovered Sources in the Galactic Plane"
"","15910506","GALACTIC DIFFUSE EMISSION AND SURVEYS","Junfeng Wang","GO","60","An X-ray View of Hypervelocity Star HVS5"
"","15910500","GALACTIC DIFFUSE EMISSION AND SURVEYS","Chip Kobulnicky","GO","25","PROBING THE ENERGY THRESHOLD FOR TRIGGERED STAR FORMATION"
"","15910352","GALACTIC DIFFUSE EMISSION AND SURVEYS","Hideyuki Mori","GO","24","Chandra Studies of Unidentified X-ray Sources in the Galactic Bulge"
"","15900685","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Andrew Levan","TOO","25","The demographics of dark gamma-ray burst hosts"
"","15900537","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Paul Martini","GO","100","The growth of the most massive black holes and galaxies: A study of AGN in an overdensity at z=2.53."
"","15900454","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Emanuele Daddi","GO","96","Hot gas emission and AGN-galaxy coevolution at the dawn of cluster formation"
"","15900275","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Marco Ajello","GO","15","The largest complete sample of Local AGN"
"","15900142","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","Leisa Townsley","XVP","2000","The Tarantula -- Revealed by X-rays (T-ReX): A Definitive Chandra Investigation of 30 Doradus"
"","15900132","EXTRAGALACTIC DIFFUSE EMISSION AND SURVEYS","William Brandt","XVP","3000","The Chandra Deep Field-South: A Peerless Ultradeep Survey for Exploring the Distant X-ray Universe"
"","15800858","CLUSTERS OF GALAXIES","Christine Jones","LP","520","Clusters, Galaxies, and AGN in HST Frontier Fields"
"","15800803","CLUSTERS OF GALAXIES","Adam Mantz","GO","65","Setting the Scale: Supporting precision cluster cosmology with Chandra observations of low-z lensing clusters"
"","15800706","CLUSTERS OF GALAXIES","Ralph Kraft","LP","500","Hydrodynamics of merging and stripping in the Fornax Cluster: A Deep Chandra observation of NGC 1404"
"","15800664","CLUSTERS OF GALAXIES","Steven Allen","GO","250","A deep study of ram-pressure stripping, metal ridges, and AGN feedback in the Ophiuchus Cluster"
"","15800657","CLUSTERS OF GALAXIES","John Hughes","LP","237","Chandra Observations of a Complete Sample of SZE Clusters from ACT"
"","15800614","CLUSTERS OF GALAXIES","Megan Donahue","GO","90","Unmasking Galaxy Clusters Masquerading As Quasars"
"","15800582","CLUSTERS OF GALAXIES","Craig Sarazin","GO","120","Did Precessing Jets and/or a Merger Make a Diamond in Abell 2626?"
"","15800543","CLUSTERS OF GALAXIES","Michael McDonald","GO","59.1","Searching for Signatures of Episodic AGN Feedback in the Core of the Phoenix Cluster"
"","15800532","CLUSTERS OF GALAXIES","Lorenzo Lovisari","GO","40","TO THE VIRIAL RADIUS OF THE MOST LUMINOUS LOCAL GALAXY GROUP: UGC03957"
"","15800474","CLUSTERS OF GALAXIES","Jeremy Sanders","LP","500","Deep imaging and spectroscopy of the Centaurus cluster: metals and filaments"
"","15800442","CLUSTERS OF GALAXIES","Martin Hardcastle","GO","110","Powerful radio galaxies in rich clusters"
"","15800369","CLUSTERS OF GALAXIES","LAWRENCE RUDNICK","GO","180","Abell 2256: New paradigms for thermal/relativistic interactions?"
"","15800332","CLUSTERS OF GALAXIES","Florian Pacaud","GO","205","SNAPSHOTS IN THE HISTORY OF DISSOCIATIVE MAJOR MERGERS"
"","15800323","CLUSTERS OF GALAXIES","Fabio Gastaldello","GO","51","Probing with X-ray the mass distribution in the lensing cluster A1703"
"","15800314","CLUSTERS OF GALAXIES","David Buote","GO","100","The Massive Fossil Cluster RXJ1416.4+2315"
"","15800201","CLUSTERS OF GALAXIES","Roger Romani","GO","100","Imaging spectroscopy of the Remarkable Halo of 4C+37.11"
"","15800006","CLUSTERS OF GALAXIES","Ming Sun","GO","48","RXJ1324.7-5736: one of the closest and brightest cool core clusters"
"","15700719","ACTIVE GALAXIES AND QUASARS","Julia Comerford","GO","105","A Pilot Search for Spatially Offset AGN in Galaxy Merger Remnants"
"","15700675","ACTIVE GALAXIES AND QUASARS","George Chartas","GO","100","The Ultrafast Outflow of the Lensed z=1.51 AGN HS 0810+2554"
"","15700595","ACTIVE GALAXIES AND QUASARS","Smita Mathur","GO","70","The curious case of Mrk~590"
"","15700554","ACTIVE GALAXIES AND QUASARS","Mischa Schirmer","GO","190","Studying AGN evolution with ionization echoes"
"","15700542","ACTIVE GALAXIES AND QUASARS","Dharam Lal","GO","36","A Chandra Study of Nearby Hybrid Morphology Radio Source"
"","15700519","ACTIVE GALAXIES AND QUASARS","Gabriele Ponti","TOO","280","X-ray monitoring of Sgr A* during outburst"
"","15700510","ACTIVE GALAXIES AND QUASARS","Giuseppina Fabbiano","GO","250","THE NUCLEAR FE- K SOURCES OF THE MERGER ULIRG ARP220"
"","15700509","ACTIVE GALAXIES AND QUASARS","Andrew Levan","GO","50","LATE TIME MONITORING OF THE EXCEPTIONAL TIDAL DISRUPTION EVENT SWIFT J1644+57"
"","15700502","ACTIVE GALAXIES AND QUASARS","Steven Kraemer","GO","250","Resolved Spectroscopy of the Extended X-ray Emission in NGC 4151: New Insights into AGN-driven Outflows"
"","15700485","ACTIVE GALAXIES AND QUASARS","Cristian Vignali","GO","140","Probing black hole accretion in binary quasars at high redshifts"
"","15700482","ACTIVE GALAXIES AND QUASARS","Anne Lohfink","GO","50","The mystery of NGC 1377 -- AGN feedback in a low mass galaxy?"
"","15700425","ACTIVE GALAXIES AND QUASARS","Sarah Kaufmann","TOO","30","Exploring the X-ray - TeV connection in BL Lacs on short timescales"
"","15700418","ACTIVE GALAXIES AND QUASARS","Diana Worrall","GO","190","Testing relativistic feedback at crucial jet power"
"","15700397","ACTIVE GALAXIES AND QUASARS","Francesco Tombesi","LP","500","Unifying X-ray winds in radio galaxies with Chandra HETG"
"","15700378","ACTIVE GALAXIES AND QUASARS","Belinda Wilkes","GO","200","Probing dark matter in the luminous radio galaxy 3C220.3 and the structure of the z=2.22 SMG/AGN it is lensing."
"","15700355","ACTIVE GALAXIES AND QUASARS","Valentina Braito","GO","200","Probing the circumnuclear region of NGC 7582"
"","15700344","ACTIVE GALAXIES AND QUASARS","Enrico Piconcelli","GO","50","Chandra imaging of the bright Compton-thick Seyfert galaxy ESO 138-G1"
"","15700338","ACTIVE GALAXIES AND QUASARS","Shobita Satyapal","GO","48","PRE-SELECTING DUAL AGN CANDIDATES USING WISE: A CHANDRA PILOT STUDY"
"","15700192","ACTIVE GALAXIES AND QUASARS","Aneta Siemiginowska","GO","85","Deep Chandra Imaging of Two Youngest Radio Sources"
"","15700182","ACTIVE GALAXIES AND QUASARS","Amy Reines","GO","200","AGN-Triggered Star Formation in the Dwarf Galaxy Henize 2-10?"
"","15700111","ACTIVE GALAXIES AND QUASARS","Francesco Massaro","GO","264","Continuing the Chandra 3CR Snapshot Survey: 23 Radio Sources with 0.5<z<1"
"","15700091","ACTIVE GALAXIES AND QUASARS","Martin Hardcastle","GO","70","Jet-driven outflows in radio galaxies"
"","15700081","ACTIVE GALAXIES AND QUASARS","Daniel Harris","GO","10","Keeping Tabs on the Unique Jet in M87 During Cycle 15"
"","15700078","ACTIVE GALAXIES AND QUASARS","Daniel Harris","TOO","35","Triggering Chandra to Detect an X-ray Counterpart to TeV Flaring from M87 During Cycle 15"
"","15700077","ACTIVE GALAXIES AND QUASARS","William Brandt","GO","60","The Variable Absorption and Disrupting X-ray Jet of the Broad Absorption Line Radio-Loud Quasar PG 1004+130"
"","15620853","NORMAL GALAXIES: X-RAY POPULATIONS","Daryl Haggard","LP","420","Monitoring the Tidal Disruption of the Gas Cloud G2 As It Encounters Sgr A*"
"","15620805","NORMAL GALAXIES: X-RAY POPULATIONS","Bret Lehmer","GO","112","TESTING THE UNIVERSALITY OF THE STELLAR IMF USING CHANDRA"
"","15620749","NORMAL GALAXIES: X-RAY POPULATIONS","Steve Zepf","GO","75","Long-term X-ray and Optical Study of the Black Hole X-ray Binaries in the Elliptical Galaxy NGC 4472"
"","15620745","NORMAL GALAXIES: X-RAY POPULATIONS","Breanna Binder","GO","130","The Effect of Intermediate-Luminosity Transients on the X-ray Luminosity Functions of Spiral Disks"
"","15620687","NORMAL GALAXIES: X-RAY POPULATIONS","Dacheng Lin","GO","60","Chandra Observation of the Most Luminous Off-nuclear Intermediate-mass Black Hole Candidate"
"","15620465","NORMAL GALAXIES: X-RAY POPULATIONS","Ann Hornschemeier","GO","75","0.5-30 KEV IMAGING OF STARBURSTS WITH CHANDRA AND NUSTAR"
"","15620105","NORMAL GALAXIES: X-RAY POPULATIONS","Philip Kaaret","GO","94.8","X-Rays from Lyman Break Analogs"
"","15620082","NORMAL GALAXIES: X-RAY POPULATIONS","Trinh Thuan","GO","30","[NeV] Emission and Ultraluminous X-ray Sources in Two Low-metallicity Blue Compact Dwarf Galaxies"
"","15610786","NORMAL GALAXIES: DIFFUSE EMISSION","Jimmy Irwin","GO","45","A First Look at Giant Bulge-Dominated Low-Surface Brightness Galaxies"
"","15610735","NORMAL GALAXIES: DIFFUSE EMISSION","Marie Machacek","GO","240","A Study of Hydrodynamic Instabilities in the Major Merger of Galaxy Groups NGC7618 and UGC12491"
