Category,PI Name,Proposal Number,Time,Title,Year
SOLAR SYSTEM,Ronald Elsner,05100445,12.0,A Search for Soft X-Ray Auroras on Earth,2005
SOLAR SYSTEM,J WAITE,05100494,78.0,SEARCH FOR X-RAYS FROM SATURNIAN SYSTEM,2005
SOLAR SYSTEM,Carey Lisse,05100560,54.0,High Resolution Imaging of the Source of Comet Encke's X-RaysOver One Nuclear Rotation,2005
NORMAL STARS AND WD,Stephen Murray,05200013,100.0,AN X-RAY STUDY OF THE YOUNG OPEN CLUSTER NGC 2362,2005
NORMAL STARS AND WD,BEATE STELZER,05200031,125.0,AGE AND TEMPERATURE DEPENDENCE OF X-RAY ACTIVITY AT THE COOL ENDOF THE MAIN-SEQUENCE,2005
NORMAL STARS AND WD,Claude Canizares,05200040,100.0,Study of Pre-Main Sequence Stars Near the Beginning of theirAccretion Phase,2005
NORMAL STARS AND WD,Gordon Garmire,05200045,20.0,Observation of the Core of the RCrA Dark Cloud,2005
NORMAL STARS AND WD,Gordon Garmire,05200058,25.0,"Observation of a brown dwarf, GJ1245ABC",2005
NORMAL STARS AND WD,Gordon Garmire,05200068,40.0,ACIS Observations of the Massive Star-Forming Complex NGC 6357,2005
NORMAL STARS AND WD,Gordon Garmire,05200074,30.0,Chandra study of the IC 1396-N globule and its neighborhood,2005
NORMAL STARS AND WD,Fabio Favata,05200123,100.0,A comprehensive survey of X-ray emission from the earliestphases of star formation,2005
NORMAL STARS AND WD,Joel Kastner,05200140,50.0,The Early Onset of X-ray Emission from Planetary Nebulae,2005
NORMAL STARS AND WD,Brian Wood,05200142,160.0,Resolving the 36 Oph and 70 Oph Binary Systems and CorrelatingTheir Coronal Properties with Their Winds,2005
NORMAL STARS AND WD,Virginia Trimble,05200156,35.2,"Coronal X-Rays from single, Cool, Magnetic White Dwarfs",2005
NORMAL STARS AND WD,Marc Audard,05200159,70.0,"A DEEP LOOK AT THE NEAREST BROWN DWARF: EPSILON INDI B, A T2.5DWARF",2005
NORMAL STARS AND WD,Svetozar Zhekov,05200178,20.0,Do Carbon-rich Wolf-Rayet Stars Emit X-rays ?,2005
NORMAL STARS AND WD,MANUEL GUEDEL,05200193,120.0,SHOCKS AND X-RAYS IN PROTOSTELLAR JETS,2005
NORMAL STARS AND WD,Eric Feigelson,05200234,19.0,Planet formation and the missing 10 Myr old stars,2005
NORMAL STARS AND WD,Leisa Townsley,05200247,60.0,Triggered Star Formation and the Remarkable Carina OB ClusterTrumpler 14,2005
NORMAL STARS AND WD,Leisa Townsley,05200250,60.0,X-ray Flows from the Giant HII Region NGC 3576,2005
NORMAL STARS AND WD,Masahiro Tsujimoto,05200369,74.0,Establishing Jet-excited X-ray Emissions from Protostars withHigh-resolution Imaging with Chandra/ACIS,2005
NORMAL STARS AND WD,Bo Reipurth,05200343,50.0,Exploring X-rays in protostellar jets,2005
NORMAL STARS AND WD,Q. Daniel Wang,05200465,100.0,The Nature of the X-ray Emission from the Arches Cluster and itsVicinity,2005
NORMAL STARS AND WD,Yousaf Butt,05200474,50.0,Cosmic Ray Acceleration and Non-thermal X-rays in Cyg OB2,2005
