Category,PI Name,Proposal Number,Time,Title,Year
SOLAR SYSTEM,KONRAD DENNERL,01100297,24.3,VENUS AND MARS: THE CLOSEST PLANETARY ANALOGUES TO COMETS,2001
SOLAR SYSTEM,CAREY LISSE,01100323,32.0,AXAF LOW ENERGY SPECTROSCOPY AND PHOTOMETRIC IMAGING OF COMETARYX-RAY EMISSION FROM COMET P/TEMPEL 2,2001
SOLAR SYSTEM,JOEL KASTNER,01100334,40.0,X-RAY IMAGING OF THE INTERACTING WINDS OF PLANETARY NEBULAE,2001
SOLAR SYSTEM,THEODORE SNOW,01100814,50.0,ASSESSEMENT OF INTERSTELLAR DEPLETIONS THROUGH X-RAY ABSORPTIONAND SCATTERING BY DUST,2001
SOLAR SYSTEM,W. THOMAS VESTRAND,01100890,65.25,SOLVING THE PUZZLE OF COMETARY X-RAY ORIGIN: OBSERVATIONS OFCOMET 10P/TEMPEL 2,2001
SOLAR SYSTEM,GEORGE RICKER,01100931,20.0,X-RAY AFTERGLOW MEASUREMENTS BY AXAF OF GAMMA-RAY BURSTSLOCALIZED BY THE RXTE/ASM AND HETE SATELLITES,2001
SOLAR SYSTEM,LUIGI PIRO,01100952,40.0,X-RAY POSITIONS AND AFTERGLOWS OF GAMMA-RAY BURSTS,2001
SOLAR SYSTEM,GORDON GARMIRE,01100045,40.3,ACIS OBSERVATION OF JUPITER AND THE GALILEAN SATELLITES,2001
SOLAR SYSTEM,KONRAD DENNERL,01108023,36.0,X-RAY EMISSION FROM COMET 10P/BORRELLY DURING THE DEEP SPACE 1ENCOUNTER,2001
NORMAL STARS AND WD,STEPHEN DRAKE,01200248,100.0,ACIS/HETG SPECTROSCOPY OF THE ACTIVE BINARIES ALGOL & UX ARI,2001
NORMAL STARS AND WD,THOMAS PREIBISCH,01200260,50.0,THE FULL T TAURI STAR POPULATION OF THE YOUNG STELLAR CLUSTER IC348,2001
NORMAL STARS AND WD,JULIAN PITTARD,01200272,5.0,DIRECT HRC-I IMAGING OF THE COLLIDING WINDS SHOCK IN WR 147,2001
NORMAL STARS AND WD,Thomas Rauch,01200299,100.0,"PHOTOSPHERIC METAL ABUNDANCES IN THE VERY HOT, HYDROGEN-RICHCENTRAL STARS OF THE PLANETARY NEBULAE NGC1360 AND NGC6853",2001
NORMAL STARS AND WD,ANDREA DUPREE,01200353,100.0,CORONAL STRUCTURE OF THE LONG-PERIOD BINARY: LAMBDA AND,2001
NORMAL STARS AND WD,WAYNE WALDRON,01200366,60.0,MEASURING DOPPLER SHIFTS OF X-RAY LINES TO DETERMINE THE STELLARWIND X-RAY LOCATIONS IN OB STARS,2001
NORMAL STARS AND WD,EDWARD CHURCHWELL,01200367,40.0,EXTENDED X-RAY EMISSION FROM MASSIVE STAR FORMATION REGIONS,2001
NORMAL STARS AND WD,FREDERICK WALTER,01200382,5.0,THE SOURCE OF X-RAYS IN THE HR 1442 SYSTEM,2001
NORMAL STARS AND WD,JEREMY DRAKE,01200472,100.0,FLUORESCENCE AND OPTICAL DEPTH: NEW PROBES OF CORONAL GEOMETRY,2001
NORMAL STARS AND WD,DEREK BUZASI,01200475,40.0,FK COM: SHROUDED IN MYSTERY,2001
NORMAL STARS AND WD,THOMAS FLEMING,01200495,22.0,X-RAY EMISSION AT THE BOTTOM OF THE MAIN SEQUENCE,2001
NORMAL STARS AND WD,THIERRY MONTMERLE,01200572,35.0,X-RAYS FROM THE RHO OPHIUCHI YOUNG STAR CLUSTER,2001
NORMAL STARS AND WD,Gibor Basri,01200574,40.0,THE END OF STELLAR CORONAE?,2001
