Category,PI Name,Proposal Number,Time,Title,Year
SOLAR SYSTEM,JAN NESS,04100120,70.0,SPATIALLY RESOLVED X-RAY EMISSION FROM SATURN,2004
SOLAR SYSTEM,RONALD ELSNER,04100190,72.0,MULTIWAVELENGTH OBSERVATIONS OF JUPITER'S AURORAL HOT SPOT,2004
SOLAR SYSTEM,HIROSHI TSUNEMI,04100561,32.4,OBSERVATION OF SATURN AND TITAN PASSING IN FRONT OF THE CRABNEBULA,2004
NORMAL STARS AND WD,CLAUDE CANIZARES,04200007,100.0,SPECTROSCOPY OF PRE-MAIN SEQUENCE STARS: TV CRT - ACCRETION ORDYNAMO?,2004
NORMAL STARS AND WD,STEPHEN MURRAY,04200026,70.0,AN ULTRADEEP CHANDRA STUDY OF THE ORION NEBULA (HRC GTO TEAMPORTION),2004
NORMAL STARS AND WD,GORDON GARMIRE,04200045,40.0,OBSERVATION OF THE CORE OF THE RCRA DARK CLOUD,2004
NORMAL STARS AND WD,GORDON GARMIRE,04200048,50.0,CHANDRA ORION MEGASECOND PROGRAM (***ACIS*** TEAM PORTION),2004
NORMAL STARS AND WD,GORDON GARMIRE,04200050,40.0,AN ACIS OBSERVATION OF THE MASSIVE STAR-FORMING REGION RCW 49,2004
NORMAL STARS AND WD,GORDON GARMIRE,04200052,30.0,CATCHING THE THIRD GENERATION OF YSOS IN THE CEPB/S155 INTERFACEREGION,2004
NORMAL STARS AND WD,SALVATORE SCIORTINO,04200106,75.0,THE CORONAL SPECTRA OF POST-T TAURI STARS IN THE NEARBY TUCANAEASSOCIATION,2004
NORMAL STARS AND WD,FABIO FAVATA,04200107,30.0,MORPHOLOGY OF THE X-RAY EMISSION FROM PROTOSTELLAR JETS,2004
NORMAL STARS AND WD,"F. HARNDEN, JR.",04200113,110.0,CORONAL STRUCTURES IN YELLOW GIANT STARS,2004
NORMAL STARS AND WD,MANUEL GUEDEL,04200117,30.0,RESOLVING THE TRIPLE PROTOSTAR/T TAU SYSTEM T TAU NS,2004
NORMAL STARS AND WD,DOUGLAS SWARTZ,04200145,20.0,IMAGING THE JET FROM A HERBIG AE STAR,2004
NORMAL STARS AND WD,MATTHIAS HUENSCH,04200248,8.2,X-RAY ACTIVITY IN M-TYPE GIANTS,2004
NORMAL STARS AND WD,STEPHEN SKINNER,04200261,100.0,TESTING SHOCK THEORIES OF X-RAY EMISSION IN THE YOUNG NEARBYO-STAR SIGMA ORIONIS,2004
NORMAL STARS AND WD,NURIA HUELAMO,04200300,17.5,ON THE ORIGIN OF THE X-RAY EMISSION IN LATE B-TYPE STARS,2004
NORMAL STARS AND WD,ERIC FEIGELSON,04200331,780.0,AN ULTRADEEP CHANDRA STUDY OF THE ORION NEBULA (GUEST OBSERVERPORTION),2004
